time,value,readout,run,experiment,value_post_inhib_scaled
1770,0.508791209,iSH2,1,1,0.508791209
1785,0.531428571,iSH2,1,1,0.531428571
1800,0.543406593,iSH2,1,1,0.543406593
1815,0.574835165,iSH2,1,1,0.574835165
1830,0.540989011,iSH2,1,1,0.540989011
1845,0.555054945,iSH2,1,1,0.555054945
1860,0.590879121,iSH2,1,1,0.590879121
1875,0.637142857,iSH2,1,1,0.637142857
1890,0.593626374,iSH2,1,1,0.593626374
1905,0.523076923,iSH2,1,1,0.523076923
1920,0.56989011,iSH2,1,1,0.56989011
1935,0.529340659,iSH2,1,1,0.529340659
1950,0.568461538,iSH2,1,1,0.568461538
1965,0.563296703,iSH2,1,1,0.563296703
1980,0.558241758,iSH2,1,1,0.558241758
1995,0.576483516,iSH2,1,1,0.576483516
2010,0.588791209,iSH2,1,1,0.588791209
2025,0.649230769,iSH2,1,1,0.649230769
2040,0.648571429,iSH2,1,1,0.648571429
2055,0.597582418,iSH2,1,1,0.597582418
2070,0.55978022,iSH2,1,1,0.55978022
2085,0.67956044,iSH2,1,1,0.67956044
2100,0.617032967,iSH2,1,1,0.617032967
2115,0.624725275,iSH2,1,1,0.624725275
2130,0.64967033,iSH2,1,1,0.64967033
2145,0.710659341,iSH2,1,1,0.710659341
2160,0.666703297,iSH2,1,1,0.666703297
2175,0.186804968,iSH2,1,1,0.186804968
2190,-0.035917772,iSH2,1,1,-0.035917772
2205,-0.025337764,iSH2,1,1,-0.025337764
2220,-0.017470578,iSH2,1,1,-0.017470578
2235,-0.040665212,iSH2,1,1,-0.040665212
2250,0.071374364,iSH2,1,1,0.071374364
2265,0.032716641,iSH2,1,1,0.032716641
2280,0.079377191,iSH2,1,1,0.079377191
2295,0.048451013,iSH2,1,1,0.048451013
2310,0.020237657,iSH2,1,1,0.020237657
2325,0.056589481,iSH2,1,1,0.056589481
2340,0.049807424,iSH2,1,1,0.049807424
2355,0.062693332,iSH2,1,1,0.062693332
2370,0.021594068,iSH2,1,1,0.021594068
2385,0.052791529,iSH2,1,1,0.052791529
2400,0.053062811,iSH2,1,1,0.053062811
2415,0.056996404,iSH2,1,1,0.056996404
2430,0.004910209,iSH2,1,1,0.004910209
2445,-0.016114167,iSH2,1,1,-0.016114167
2460,0.06011615,iSH2,1,1,0.06011615
2475,0.053062811,iSH2,1,1,0.053062811
2490,0.025934585,iSH2,1,1,0.025934585
2505,0.025527661,iSH2,1,1,0.025527661
2520,0.034479976,iSH2,1,1,0.034479976
2535,0.021187145,iSH2,1,1,0.021187145
2550,0.005588415,iSH2,1,1,0.005588415
2565,0.005317132,iSH2,1,1,0.005317132
2580,-0.015164679,iSH2,1,1,-0.015164679
2595,0.031902794,iSH2,1,1,0.031902794
2610,0.073137699,iSH2,1,1,0.073137699
2625,-0.006619287,iSH2,1,1,-0.006619287
2640,-0.090852431,iSH2,1,1,-0.090852431
2655,0.041533315,iSH2,1,1,0.041533315
2670,0.056996404,iSH2,1,1,0.056996404
2685,-0.089631661,iSH2,1,1,-0.089631661
2700,-0.006619287,iSH2,1,1,-0.006619287
0,0,PH,1,2,0
15,-0.039622146,PH,1,2,-0.039622146
30,-0.080556284,PH,1,2,-0.080556284
45,-0.03594857,PH,1,2,-0.03594857
60,-0.027158226,PH,1,2,-0.027158226
75,-0.003279979,PH,1,2,-0.003279979
90,0.032406193,PH,1,2,0.032406193
105,0.02807662,PH,1,2,0.02807662
120,-0.013119916,PH,1,2,-0.013119916
135,0.032930989,PH,1,2,0.032930989
150,-0.05785883,PH,1,2,-0.05785883
165,-0.003279979,PH,1,2,-0.003279979
180,-0.005379166,PH,1,2,-0.005379166
195,0.014300708,PH,1,2,0.014300708
210,0.021254264,PH,1,2,0.021254264
225,0.060089215,PH,1,2,0.060089215
240,0.060351614,PH,1,2,0.060351614
255,0.049855681,PH,1,2,0.049855681
270,0.056940436,PH,1,2,0.056940436
285,0.072684335,PH,1,2,0.072684335
300,0.085148255,PH,1,2,0.085148255
315,0.063500394,PH,1,2,0.063500394
330,0.078457098,PH,1,2,0.078457098
345,0.075439517,PH,1,2,0.075439517
360,0.118604041,PH,1,2,0.118604041
375,0.193518761,PH,1,2,0.193518761
390,0.130411965,PH,1,2,0.130411965
405,0.096562582,PH,1,2,0.096562582
420,0.117685647,PH,1,2,0.117685647
435,0.143007085,PH,1,2,0.143007085
450,0.0938074,PH,1,2,0.0938074
465,0.09223301,PH,1,2,0.09223301
480,0.135397533,PH,1,2,0.135397533
495,0.094463395,PH,1,2,0.094463395
510,0.124770401,PH,1,2,0.124770401
525,0.127394385,PH,1,2,0.127394385
540,0.105484125,PH,1,2,0.105484125
555,0.122540016,PH,1,2,0.122540016
570,0.118210443,PH,1,2,0.118210443
585,0.141301496,PH,1,2,0.141301496
600,0.112175282,PH,1,2,0.112175282
615,0.1562582,PH,1,2,0.1562582
630,0.151928628,PH,1,2,0.151928628
645,0.099448964,PH,1,2,0.099448964
660,0.099448964,PH,1,2,0.099448964
675,0.178955655,PH,1,2,0.178955655
690,0.117029651,PH,1,2,0.117029651
705,0.153634217,PH,1,2,0.153634217
720,0.211099449,PH,1,2,0.211099449
735,0.198897927,PH,1,2,0.198897927
750,0.13907111,PH,1,2,0.13907111
765,0.149435844,PH,1,2,0.149435844
780,0.169771713,PH,1,2,0.169771713
795,0.212280241,PH,1,2,0.212280241
810,0.125951194,PH,1,2,0.125951194
825,0.172658095,PH,1,2,0.172658095
840,0.178430858,PH,1,2,0.178430858
855,0.183547625,PH,1,2,0.183547625
870,0.176331671,PH,1,2,0.176331671
885,0.183416426,PH,1,2,0.183416426
900,0.208475466,PH,1,2,0.208475466
915,0.227630543,PH,1,2,0.227630543
930,0.206769877,PH,1,2,0.206769877
945,0.180792443,PH,1,2,0.180792443
960,0.240225663,PH,1,2,0.240225663
975,0.169378116,PH,1,2,0.169378116
990,0.180267646,PH,1,2,0.180267646
1005,0.160587772,PH,1,2,0.160587772
1020,0.228024141,PH,1,2,0.228024141
1035,0.176331671,PH,1,2,0.176331671
1050,0.150223039,PH,1,2,0.150223039
1065,0.179874049,PH,1,2,0.179874049
1080,0.214773025,PH,1,2,0.214773025
1095,0.225924954,PH,1,2,0.225924954
1110,0.190107583,PH,1,2,0.190107583
1125,0.213198636,PH,1,2,0.213198636
1140,0.135003936,PH,1,2,0.135003936
1155,0.202571504,PH,1,2,0.202571504
1170,0.154027814,PH,1,2,0.154027814
1185,0.189451588,PH,1,2,0.189451588
1200,0.223300971,PH,1,2,0.223300971
1215,0.216478615,PH,1,2,0.216478615
1230,0.247835214,PH,1,2,0.247835214
1245,0.2344529,PH,1,2,0.2344529
1260,0.189845185,PH,1,2,0.189845185
1275,0.130543165,PH,1,2,0.130543165
1290,0.17816846,PH,1,2,0.17816846
1305,0.189451588,PH,1,2,0.189451588
1320,0.16714773,PH,1,2,0.16714773
1335,0.232353713,PH,1,2,0.232353713
1350,0.237601679,PH,1,2,0.237601679
1365,0.237864078,PH,1,2,0.237864078
1380,0.246260824,PH,1,2,0.246260824
1395,0.226974547,PH,1,2,0.226974547
