time,value,readout,run,experiment,value_raw,value_post_inhib_scaled
1755,0.812030963,PH,3,1,1.5111,0.812030963
1770,0.800485437,PH,3,1,1.5023,0.800485437
1785,0.715993178,PH,3,1,1.4379,0.715993178
1800,1.119561795,PH,3,1,1.7455,1.119561795
1815,1.617331409,PH,3,1,2.1249,1.617331409
1830,1.673615849,PH,3,1,2.1678,1.673615849
1845,1.795762267,PH,3,1,2.2609,1.795762267
1860,1.81255576,PH,3,1,2.2737,1.81255576
1875,1.725833115,PH,3,1,2.2076,1.725833115
1890,1.563802152,PH,3,1,2.0841,1.563802152
1905,1.507911309,PH,3,1,2.0415,1.507911309
1920,1.699855681,PH,3,1,2.1878,1.699855681
1935,1.56878772,PH,3,1,2.0879,1.56878772
1950,1.394686434,PH,3,1,1.9552,1.394686434
1965,1.586368407,PH,3,1,2.1013,1.586368407
1980,1.552781422,PH,3,1,2.0757,1.552781422
1995,1.560784571,PH,3,1,2.0818,1.560784571
2010,1.395080031,PH,3,1,1.9555,1.395080031
2025,1.428011021,PH,3,1,1.9806,1.428011021
2040,1.450708475,PH,3,1,1.9979,1.450708475
2055,1.375924954,PH,3,1,1.9409,1.375924954
2070,1.144620834,PH,3,1,1.7646,1.144620834
2085,1.415153503,PH,3,1,1.9708,1.415153503
2100,0.535725531,PH,3,1,1.3005,0.535725531
2115,1.576266072,PH,3,1,2.0936,1.576266072
2130,1.503319339,PH,3,1,2.038,1.503319339
2145,1.389438468,PH,3,1,1.9512,1.389438468
2160,1.441262136,PH,3,1,1.9907,1.441262136
2175,1.510141695,PH,3,1,2.0432,1.510141695
2190,1.344699554,PH,3,1,1.9171,1.344699554
2205,1.408068748,PH,3,1,1.9654,1.408068748
2220,1.341944372,PH,3,1,1.915,1.341944372
2235,1.37972973,PH,3,1,1.9438,1.37972973
2250,1.190802939,PH,3,1,1.7998,1.190802939
2265,1.273064812,PH,3,1,1.8625,1.273064812
2280,1.230425085,PH,3,1,1.83,1.230425085
2295,1.199068486,PH,3,1,1.8061,1.199068486
2310,1.192639727,PH,3,1,1.8012,1.192639727
2325,1.128220939,PH,3,1,1.7521,1.128220939
2340,1.238821832,PH,3,1,1.8364,1.238821832
2355,1.220060352,PH,3,1,1.8221,1.220060352
2370,0.951233272,PH,3,1,1.6172,0.951233272
2385,1.143964839,PH,3,1,1.7641,1.143964839
2400,1.249186565,PH,3,1,1.8443,1.249186565
2415,0.95162687,PH,3,1,1.6175,0.95162687
2430,1.071411703,PH,3,1,1.7088,1.071411703
2445,1.034807137,PH,3,1,1.6809,1.034807137
2460,1.073904487,PH,3,1,1.7107,1.073904487
2475,1.067738126,PH,3,1,1.706,1.067738126
2490,1.172435056,PH,3,1,1.7858,1.172435056
2505,1.06878772,PH,3,1,1.7068,1.06878772
2520,1.157347153,PH,3,1,1.7743,1.157347153
2535,0.984951456,PH,3,1,1.6429,0.984951456
2550,1.118512202,PH,3,1,1.7447,1.118512202
2565,1.084269221,PH,3,1,1.7186,1.084269221
2580,0.912791918,PH,3,1,1.5879,0.912791918
2595,1.027066387,PH,3,1,1.675,1.027066387
2610,1.075478877,PH,3,1,1.7119,1.075478877
2625,1.051338231,PH,3,1,1.6935,1.051338231
2640,0.964484387,PH,3,1,1.6273,0.964484387
2655,0.997415377,PH,3,1,1.6524,0.997415377
2670,0.957268433,PH,3,1,1.6218,0.957268433
2685,0.927617423,PH,3,1,1.5992,0.927617423
2700,0.990461821,PH,3,1,1.6471,0.990461821
2715,1.044253477,PH,3,1,1.6881,1.044253477
2730,0.90465757,PH,3,1,1.5817,0.90465757
2745,0.852702703,PH,3,1,1.5421,0.852702703
2760,0.94218053,PH,3,1,1.6103,0.94218053
2775,0.889438468,PH,3,1,1.5701,0.889438468
2790,1.014733666,PH,3,1,1.6656,1.014733666
2805,0.805339806,PH,3,1,1.506,0.805339806
2820,0.844568355,PH,3,1,1.5359,0.844568355
2835,0.794712674,PH,3,1,1.4979,0.794712674
2850,0.902164786,PH,3,1,1.5798,0.902164786
1650,0.630511895,iSH2,5,1,1.4987,0.630511895
1665,0.676486721,iSH2,5,1,1.5666,0.676486721
1680,0.730315861,iSH2,5,1,1.6461,0.730315861
