Count,Experiment,Run,Data,Sim,Best
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.481885344225780748e-02,3.730772514264041762e-03,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.073869868425064100e-02,2.978828302012236605e-03,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.487874228619037946e-03,2.379934733974556696e-03,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.757986919418047411e-02,1.902630889532615959e-03,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.401730586218596225e-02,1.521987559133355754e-03,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-9.147443731661188127e-03,1.218237264178556687e-03,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.645223692744883720e-03,9.756949733737182561e-04,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.046362268585705572e-02,7.819066426361671179e-04,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.493863113012308674e-02,6.269770531024021661e-04,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.415484386138267076e-02,5.030389352007342673e-04,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.831264777465350019e-03,4.038332735921746665e-04,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-5.968871557278238038e-02,3.243773406386576226e-04,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.902174594001877619e-02,2.607019200617995440e-04,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.956597783302862326e-02,2.096431580200599533e-04,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-9.825275893072135669e-02,1.686775846824904908e-04,1.691927442244423901e+03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.112467221484358448e-02,1.357912400588987727e-04,1.691927442244423901e+03
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.168108946608834412e+04
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.188139595906584745e-02,1.704872094207354749e-02,1.168108946608834412e+04
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,4.473891367095253480e-02,4.859881239838479555e-02,1.168108946608834412e+04
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,9.577538703752261351e-03,8.119904503536043427e-02,1.168108946608834412e+04
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,8.541065337181834305e-02,1.108982643880886687e-01,1.168108946608834412e+04
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.079769089477826405e-01,1.368819781455817841e-01,1.168108946608834412e+04
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.193912358960903669e-01,1.593209030221495459e-01,1.168108946608834412e+04
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.684597218577800481e-01,1.786478075837532598e-01,1.168108946608834412e+04
2.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.535030175806873232e-01,1.953240292920201404e-01,1.168108946608834412e+04
